DAY,TICKER,COMPANY_NAME,TOTAL_SHARES,SIR,RSI,BF,ADV,PUBLIC,PRICE_PER_SHARE
2021-01-05,BB,BlackBerry Limited,200000000,120,20,0.10,5000000,195000000,10
2021-01-06,BB,BlackBerry Limited,200000000,120,22,0.12,5500000,195000000,13
2021-01-07,BB,BlackBerry Limited,200000000,120,24,0.14,6000000,195000000,16
2021-01-08,BB,BlackBerry Limited,200000000,120,26,0.16,6500000,195000000,19
2021-01-09,BB,BlackBerry Limited,200000000,120,28,0.18,7000000,195000000,22
2021-01-10,BB,BlackBerry Limited,200000000,120,30,0.20,7500000,195000000,25
2021-01-11,BB,BlackBerry Limited,200000000,120,32,0.22,8000000,195000000,28
2021-01-12,BB,BlackBerry Limited,200000000,120,34,0.24,8500000,195000000,31
2021-01-13,BB,BlackBerry Limited,200000000,120,36,0.26,9000000,195000000,34
2021-01-14,BB,BlackBerry Limited,200000000,120,38,0.28,9500000,195000000,37
2021-01-15,BB,BlackBerry Limited,200000000,120,40,0.30,10000000,195000000,40
2021-01-16,BB,BlackBerry Limited,200000000,120,42,0.32,10500000,195000000,43
2021-01-17,BB,BlackBerry Limited,200000000,120,44,0.34,11000000,195000000,46
2021-01-18,BB,BlackBerry Limited,200000000,120,46,0.36,11500000,195000000,49
2021-01-19,BB,BlackBerry Limited,200000000,120,48,0.38,12000000,195000000,52
2021-01-20,BB,BlackBerry Limited,200000000,120,50,0.40,12500000,195000000,55
2021-01-21,BB,BlackBerry Limited,200000000,120,52,0.42,13000000,195000000,58
2021-01-22,BB,BlackBerry Limited,200000000,120,54,0.44,13500000,195000000,61
2021-01-23,BB,BlackBerry Limited,200000000,120,56,0.46,14000000,195000000,64
2021-01-24,BB,BlackBerry Limited,200000000,120,58,0.48,14500000,195000000,67
2021-01-25,BB,BlackBerry Limited,200000000,120,60,0.50,15000000,195000000,70
2021-01-26,BB,BlackBerry Limited,200000000,120,57,0.49,14800000,195000000,68
2021-01-27,BB,BlackBerry Limited,200000000,120,54,0.48,14600000,195000000,66
2021-01-28,BB,BlackBerry Limited,200000000,120,51,0.47,14400000,195000000,64
2021-01-29,BB,BlackBerry Limited,200000000,120,48,0.46,14200000,195000000,62
2021-01-30,BB,BlackBerry Limited,200000000,120,45,0.45,14000000,195000000,60
2021-01-31,BB,BlackBerry Limited,200000000,120,42,0.44,13800000,195000000,58
2021-02-01,BB,BlackBerry Limited,200000000,120,39,0.43,13600000,195000000,56
